name,category,type,address,phone,website,rating,reviews,status
Pessina Poke-Sushi-Bar,japanese,Sushi restaurant,"Via Pessina 9, 6900 Lugano, Switzerland",,http://www.pessinapokebar.ch/,4.3,163,OPERATIONAL
BASARA sushi restaurant,japanese,Japanese restaurant,"Via Generale Guisan 8c, 6900 Paradiso, Switzerland",+41 91 225 05 22,https://www.basarasushi.ch/,4.4,168,OPERATIONAL
Kohakinho,japanese,Sushi restaurant,"Via della Posta 4, 6900 Lugano, Switzerland",+41 91 225 00 22,https://www.facebook.com/Kohakinho/,4.3,171,OPERATIONAL
NEW SHANGHAI,japanese,Restaurant,"Viale Carlo Cattaneo 25, 6900 Lugano, Switzerland",+41 91 923 27 26,,4.1,212,OPERATIONAL
NOIZU RAMEN,japanese,Ramen restaurant,"Corso Elvezia 4, 6900 Lugano, Switzerland",+41 91 921 06 70,https://noizuramen.ch/,4.4,222,OPERATIONAL
Yummy Asian Restaurant,japanese,Asian restaurant,"Via Madonnetta 27, 6900 Lugano, Switzerland",+41 91 229 19 30,,4.5,281,OPERATIONAL
THAI ORCHID Restaurant & Bar,japanese,Thai restaurant,"Via Luigi Canonica 5, 6900 Lugano, Switzerland",+41 91 923 37 66,https://www.thaiorchidlugano.ch/,4.1,289,OPERATIONAL
DILO’S LUGANO & BAR CUCINA INTERNAZIONALE,japanese,Restaurant,"Via Serafino Balestra 31, 6900 Lugano, Switzerland",+41 91 921 17 16,http://diloslugano.ch/,4.6,304,OPERATIONAL
Rice Go Asian Take Away,japanese,Takeout restaurant,"Via Sempione, 6900 Lugano, Switzerland",+41 91 224 66 33,,4.7,317,OPERATIONAL
Ristorante Cinese Orient Express,japanese,Chinese restaurant,"Corso Elvezia 22, 6900 Lugano, Switzerland",+41 91 921 00 66,,4.8,356,OPERATIONAL
Porto Bello! Ristorantino alla Foce di Lugano!,japanese,Restaurant,"Circolo Velico Lugano, Via Foce 11, 6900 Lugano, Switzerland",+41 91 972 88 88,https://www.instagram.com/porto_bello_lugano/,4.4,358,OPERATIONAL
Icon Sushi Lugano,japanese,Restaurant,"Via Elsa Franconi-Poretti 4, 6962 Lugano, Switzerland",+41 76 671 29 23,http://www.iconsushilugano.com/#xl_start,4.7,389,OPERATIONAL
Rookies & Picchio,japanese,Restaurant,"Via f. Pelli 13, 6900 Lugano, Switzerland",+41 91 922 50 02,http://www.rp-sportbar.ch/,4.3,444,OPERATIONAL
Just Sushi Lugano,japanese,Restaurant,"Via Giuseppe Motta 7, 6900 Lugano, Switzerland",+41 91 222 65 88,http://www.pessinapokebar.ch/,3.6,479,OPERATIONAL
Oyishi,japanese,Japanese restaurant,"Via Luino, 47, 21037 Lavena Ponte Tresa VA, Italy",+39 0332 551617,https://linktr.ee/oyishi_pontetresa,4.5,540,OPERATIONAL
GABBANI Ristorante,japanese,Restaurant,"Piazza Cioccaro 1, 6900 Lugano, Switzerland",+41 91 911 30 83,https://www.gabbani.com/ristoranti--bar/ristorante-gabbani/menu-del-giorno/,4.3,554,OPERATIONAL
Toku Ramen,japanese,Ramen restaurant,"Via Cantonale 1, 6900 Lugano, Switzerland",+41 91 922 73 30,https://www.tokuramen.com/,4.7,743,OPERATIONAL
Ciani Lugano,japanese,Restaurant,"Piazza Dell Indipendenza 4, 6900 Lugano, Switzerland",+41 91 922 66 55,https://www.cianilugano.ch/,4.3,786,OPERATIONAL
Ristorante Seven Lugano,japanese,Restaurant,"Via Chiarina Stauffacher-Vedani 1, 6901 Lugano, Switzerland",+41 91 290 77 77,https://www.seven.ch/restaurants/seven-lugano-restaurant,4.4,836,OPERATIONAL
Vitti Lugano,japanese,Italian restaurant,"Via Pretorio 2, 6900 Lugano, Switzerland",+41 91 605 61 61,https://vittilugano.ch/,4.2,844,OPERATIONAL
FLAMEL Restaurant & Mixology Bar,japanese,Restaurant,"Piazza Cioccaro 5, 6900 Lugano, Switzerland",+41 91 910 57 06,https://flamellugano.com/en/?utm_source=google&utm_medium=organic&utm_campaign=gmb_listing,4.8,1301,OPERATIONAL
Lanchetta Lounge Bar & Pinsa.,japanese,Restaurant,"Viale Castagnola 16, 6900 Lugano, Switzerland",+41 91 971 55 51,http://www.lanchettalounge.ch/,4.1,1857,OPERATIONAL
Casa Panda,asian,Dumpling restaurant,"Via Monte Boglia 18/6900, 6900 Lugano, Switzerland",+41 77 973 36 17,http://www.casapanda.ch/,5,3,OPERATIONAL
Tasty Bites Lugano,asian,Takeout restaurant,"Via Luigi Lavizzari 5, 6900 Lugano, Switzerland",+41 91 923 14 28,http://www.tastybiteslugano.ch/,5,13,OPERATIONAL
Palma poké,asian,Restaurant,"Viale Carlo Cattaneo 15, 6900 Lugano, Switzerland",+41 78 321 77 79,,4.9,15,OPERATIONAL
Linda ramen Asian food,asian,Restaurant,"Via Zanoni, 5, 21037 Lavena Ponte Tresa VA, Italy",+39 344 752 0636,,4.8,24,OPERATIONAL
Phad Thai Take Away,asian,Thai restaurant,"Corso Enrico Pestalozzi 10, 6900 Lugano, Switzerland",+41 91 921 49 10,http://phadthaitakeaway.ch/,4.1,36,OPERATIONAL
Wasana Thai Take Away,asian,Takeout restaurant,"Via S. Gottardo 19, 6943 Vezia, Switzerland",+41 91 600 91 29,https://avid3904132.altervista.org/,4.8,49,OPERATIONAL
SaporiBioClub,asian,Vegan restaurant,"Salita M. e A. Chiattone 18, 6900 Lugano, Switzerland",+41 79 531 66 95,https://www.facebook.com/people/Saporibio/100063483372926/,4.8,64,OPERATIONAL
kind thai& poke take away,asian,Takeout restaurant,"Via Romeo Manzoni 8, 6900 Lugano, Switzerland",+41 91 229 45 05,http://www.kindthaitakeaway.ch/,4.6,138,OPERATIONAL
Da Sung Take Away Vietnamita,asian,Takeout restaurant,"Via alla Campagna 20, 6900 Lugano, Switzerland",+41 76 263 31 41,https://dasung-takeaway.ch/,5,165,OPERATIONAL
Ristorante Persiano 1001 Notte,asian,Persian restaurant,"Via Zurigo 6, 6900 Lugano, Switzerland",+41 91 923 19 37,http://www.1001notte.ch/,4.5,212,OPERATIONAL
Asia Market,asian,Asian grocery store,"Via Trevano 3, 6900 Lugano, Switzerland",+41 91 966 16 27,https://prodottiasiaticilugano.digitalone.site/,4.2,258,OPERATIONAL
Radmy&Food,asian,Takeout restaurant,"Riva Paradiso 111, 6912 Paradiso, Switzerland",+41 76 611 47 70,https://www.instagram.com/radmy_and_food/,4.9,287,OPERATIONAL
Belvedere,asian,Restaurant,"Via Tesserete 8, 6948 Porza, Switzerland",+41 91 941 13 51,http://ristorantebelvedere.ch/,4.3,389,OPERATIONAL
Tabla Indian & Asian Restaurant,asian,Indian restaurant,"Via ai Canvetti 15, 6926 Collina d'Oro, Switzerland",+41 91 968 19 00,http://www.tablalugano.ch/,4.6,968,OPERATIONAL
Residence Lago di Lugano,hotel,Hotel,"Località Cini, 31, 22018 Cima CO, Italy",+39 0344 629135,,4,2,OPERATIONAL
Grand Hotel Villa Castagnola,hotel,Coworking space,"Viale Castagnola 31, 6906 Lugano, Switzerland",,https://coworkingbar.ch/it/coworking-spaces/grand-hotel-villa-castagnola/?utm_source=gbp&utm_medium=organic,5,6,OPERATIONAL
Al Ciani Balcony Suite,hotel,Hotel,"Piazza Dell Indipendenza 1, 6900 Lugano, Switzerland",+41 79 306 59 70,https://www.booking.com/hotel/ch/al-ciani.html?lang=xu,5,7,OPERATIONAL
Salotto Brè Bed & Breakfast,hotel,Bed & breakfast,"Via Brè 46, 6979 Brè sopra Lugano, Switzerland",+41 79 551 13 37,https://salotto-bre.ch/bb-new/,5,11,OPERATIONAL
Casa stefania,hotel,Bed & breakfast,"Via al Molino 105, 6926 Lugano, Switzerland",+41 79 339 64 73,,4.7,11,OPERATIONAL
Cassarate Lago,hotel,Hotel,"Viale Castagnola 21, 6900 Lugano, Switzerland",,,4.6,11,OPERATIONAL
GuestHouse University,hotel,Extended stay hotel,"Via Madonnetta 23, 6900 Lugano, Switzerland",+41 91 601 04 37,http://www.luganoguesthouseuniversity.com/,3.3,38,OPERATIONAL
Guesthouse Casa Calina,hotel,Hostel,"Via Nav 15, 6914 Lugano, Switzerland",+41 91 649 83 47,http://www.calina.ch/,4.2,40,OPERATIONAL
Dolceresio Lugano Lake B&B,hotel,Bed & breakfast,"Vila da Roncaiöö 1, 6827 Brusino Arsizio, Switzerland",+41 79 605 95 93,https://www.dolceresio.ch/,4.9,60,OPERATIONAL
Guesthouse Castagnola,hotel,Hotel,"Salita degli Olivi 2, 6976 Lugano, Switzerland",+41 78 632 67 47,http://www.gh-castagnola.com/,4.9,64,OPERATIONAL
Swiss Hotel Apartments - Lugano,hotel,Hotel,"Corso Elvezia 35, 6900 Lugano, Switzerland",+41 79 781 99 99,https://www.swisshotelapartments.ch/lugano-swiss-hotel-apartments/,4.5,68,OPERATIONAL
Santa Birgitta,hotel,Hotel,"Via Silvio Calloni 14, 6900 Lugano, Switzerland",+41 91 994 12 12,http://www.birgitta.ch/,4.6,68,OPERATIONAL
Hotel La Comanella,hotel,Hotel,"Via al Ballo 9, 6949 Comano, Switzerland",+41 91 941 65 71,https://yellow.local.ch/d/VKk8Y2kMAVBV4c0p2kdg7Q,4.7,71,OPERATIONAL
Swiss Diamond Boutique Hotel La Romantica,hotel,Hotel,"Via Cantonale 1, 6815 Melide, Switzerland",+41 91 261 52 00,https://www.swissdiamondboutiquehotel.com/,4.4,84,OPERATIONAL
B5 Boutique Hotel Lugano,hotel,Hotel,"Via Francesco Borromini 5, 6900 Lugano, Switzerland",+41 91 966 33 70,https://b5hotel.ch/,4.8,107,OPERATIONAL
Ristorante Camino,hotel,Restaurant,"Via Massago 3, 6977 Ruvigliana, Switzerland",+41 91 211 01 50,http://www.rist-camino.ch/,4.7,109,OPERATIONAL
Elvezia al Lago,hotel,Hotel,"Sentiero di Gandria 21, 6976 Lugano, Switzerland",+41 91 971 44 51,http://www.elvezialago.ch/,4.3,126,OPERATIONAL
Albergo Gardenia,hotel,Hotel,"Via Valle 20, 6987 Caslano, Switzerland",+41 91 611 82 11,http://www.garni-gardenia.ch/,4.6,132,OPERATIONAL
Villa Selva,hotel,Hotel,"Via Tesserete 36, 6900 Massagno, Switzerland",+41 91 923 60 17,http://villaselva.ch/selva,4.5,141,OPERATIONAL
Eco Hotel Locanda del Giglio,hotel,Hotel,"Via Cantonale, Roveredo Nucleo, 6957 Tesserete, Switzerland",+41 91 930 09 33,http://www.locandadelgiglio.ch/,4.7,142,OPERATIONAL
Locanda della Masseria (Restaurant/Hotel) in Porza/Lugano!,hotel,Restaurant,"Via Trevano 2, 6948 Porza, Switzerland",+41 91 941 09 09,https://locandadellamasseria.ch/,4.4,156,OPERATIONAL
Hotel Villa Carona,hotel,Hotel,"Via Principale 53, 6914 Lugano, Switzerland",+41 91 649 70 55,https://www.villacarona.ch/,4.6,185,OPERATIONAL
AL BOCCALINO Bed & Breakfast,hotel,Hotel,"Via Francesco Borromini 27, 6815 Melide, Switzerland",+41 91 649 77 67,http://www.alboccalino.ch/,4.6,188,OPERATIONAL
Lac Hotel Melide,hotel,Hotel,"lungo lago G.Motta 9, Lungolago Giuseppe Motta 9, 6815 Melide, Switzerland",+41 91 649 70 41,http://www.lachotel.ch/,4.4,198,OPERATIONAL
Locanda Castagnola / Hotel,hotel,Hotel,"Contrada Vecchio Municipio 1, 6976 Castagnola, Switzerland",+41 91 226 35 15,http://www.locandacastagnola.ch/,4.5,244,OPERATIONAL
GABBANI HOTEL,hotel,Hotel,"Piazza Cioccaro 1, 6900 Lugano, Switzerland",+41 91 921 34 70,http://www.gabbani.com/hotel,4.4,248,OPERATIONAL
Atlantico Hôtel garni,hotel,Hotel,"Via Concordia 12, 6900 Lugano, Switzerland",+41 91 971 29 21,https://www.atlantico-lugano.ch/,4.6,250,OPERATIONAL
Hotel Firenze Lugano,hotel,Hotel,"Str. di Gandria 1, 6976 Lugano, Switzerland",+41 91 224 62 33,https://ristorantefirenze.ch/lugano/hotel/,3.9,287,OPERATIONAL
Hotel Zurigo Downtown,hotel,Hotel,"Corso Enrico Pestalozzi 13, 6900 Lugano, Switzerland",+41 91 923 43 43,https://www.hotelzurigo.ch/,3.7,303,OPERATIONAL
Hotel Riviera,hotel,Hotel,"Lungolago Giuseppe Motta 7, 6815 Melide, Switzerland",+41 91 640 15 00,http://www.hotel-riviera.ch/,4.4,317,OPERATIONAL
Hotel Colorado Lugano,hotel,Hotel,"Via Clemente Maraini 19, Via Antonio Adamini 20, 6900 Lugano, Switzerland",+41 91 994 16 31,https://colorado.ch/?utm_source=google&utm_medium=link&utm_campaign=google_business,4.1,332,OPERATIONAL
Park Hotel Principe - Collina d'Oro,hotel,Hotel,"Via Montalbano 19, 6900 Lugano, Switzerland",+41 91 985 86 43,https://parkhotelprincipe.com/en/?utm_source=google&utm_medium=organic&utm_campaign=gmb_listing,4.1,344,OPERATIONAL
Grand Hotel Campione,hotel,Hotel,"Via Matteo da Campione, 2, 22061 Campione d'Italia CO, Italy",+41 91 649 50 60,https://www.ghcampione.com/,4.6,370,OPERATIONAL
Bigatt Hotel & Restaurant,hotel,Hotel,"Via Carona 41, 6900 Paradiso, Switzerland",+41 91 985 28 80,http://www.bigatt.ch/,4.8,377,OPERATIONAL
Grotto Flora B&B,hotel,Restaurant,"Via Municipio 8, 6927 Agra, Switzerland",+41 91 994 15 67,http://www.grottoflora.com/,4.6,380,OPERATIONAL
Hotel San Carlo,hotel,Hotel,"Via Nassa 28, 6900 Lugano, Switzerland",+41 91 922 71 07,https://www.hotelsancarlolugano.ch/,4,386,OPERATIONAL
Caroline Hotel,hotel,Hotel,"Via Federico Motta, 4, 21050 Brusimpiano VA, Italy",+39 0332 143 1105,https://www.carolinehotel.it/,4.1,397,OPERATIONAL
Hotel Nassa,hotel,Hotel,"Via Nassa 60, 6900 Lugano, Switzerland",+41 91 910 70 60,http://hotel-nassa.com.es/,4.2,411,OPERATIONAL
Hotel Campione,hotel,Hotel,"Via Campione 62, 6816 Bissone, Switzerland",+41 91 640 16 16,http://www.hotel-campione.ch/,4.2,416,OPERATIONAL
Best Western Hotel Bellevue au Lac,hotel,Hotel,"Riva Antonio Caccia 10, 6900 Lugano, Switzerland",+41 91 994 33 33,https://hotelbellevue.ch/,4.1,418,OPERATIONAL
Resort Collina d'Oro,hotel,Resort hotel,"Via Roncone 22, 6927 Collina d'Oro, Switzerland",+41 91 641 11 11,https://www.resortcollinadoro.com/,4.5,447,OPERATIONAL
Colibrì,hotel,Hotel,"Via Aldesago 91, 6974 Lugano, Switzerland",+41 91 971 42 42,http://www.hotelcolibri.ch/,4.3,462,OPERATIONAL
"THE VIEW Lugano, an SLH Hotel",hotel,Hotel,"Via Guidino 29, 6900 Paradiso, Switzerland",+41 91 210 00 00,https://www.theviewlugano.com/en/,4.6,486,OPERATIONAL
Hotel Dischma,hotel,Hotel,"Vicolo Geretta 6, 6900 Paradiso, Switzerland",+41 91 994 21 31,https://hotel-dischma-lugano.ch/,3.5,504,OPERATIONAL
Hotel City Lugano,hotel,Hotel,"Via Giuseppe Bagutti 4, 6900 Lugano, Switzerland",+41 91 222 09 00,http://www.hotelcitylugano.ch/,4.5,524,OPERATIONAL
Hotel Acquarello Swiss Quality,hotel,Hotel,"Piazza Cioccaro 9, 6900 Lugano, Switzerland",+41 91 911 68 68,https://acquarello.ch/,4.1,533,OPERATIONAL
Hotel Walter Au Lac,hotel,Hotel,"Piazza Riziero Rezzonico 7, 6900 Lugano, Switzerland",+41 91 922 74 25,http://www.walteraulac.ch/,4.3,535,OPERATIONAL
Hotel & Ristorante Vezia,hotel,Hotel,"Via S. Gottardo 32, 6943 Vezia, Switzerland",+41 91 966 36 31,https://www.hotelvezia.ch/,4.2,548,OPERATIONAL
Hostel Montarina,hotel,Hotel,"Via Montarina 1, 6900 Lugano, Switzerland",+41 91 966 72 72,http://www.montarina.ch/,4,569,OPERATIONAL
Osteria Battello,hotel,Restaurant,"Piazza Lago 3, 6987 Caslano, Switzerland",+41 91 606 16 50,https://www.osteriabattello.com/,4.3,574,OPERATIONAL
Locanda Gandriese,hotel,Restaurant,"Piazza Nisciör 3, 6978 Lugano, Switzerland",+41 91 971 41 81,https://www.locandagandriese.com/,4.6,681,OPERATIONAL
International au Lac Historic Lakeside Hotel,hotel,Hotel,"Via Nassa 68, 6900 Lugano, Switzerland",+41 91 922 75 41,http://www.hotel-international.ch/,4.5,685,OPERATIONAL
ibis budget Lugano Paradiso,hotel,Hotel,"Via Geretta 10, 6900 Paradiso, Switzerland",+41 91 986 19 29,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=6781&merchantid=seo-maps-CH-6781&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,3.7,698,OPERATIONAL
Hotel Victoria au Lac,hotel,Hotel,"Via Generale Guisan 3, 6900 Paradiso, Switzerland",+41 91 994 20 31,https://www.victoriahotel.ch/,3.4,715,OPERATIONAL
GuestHouse Lugano Center,hotel,Lodging,"Via Silvio Calloni 2, 6900 Lugano, Switzerland",+41 91 601 04 37,https://www.luganoguesthouse.com/,4,727,OPERATIONAL
Albergo Ristorante La Palma,hotel,Hotel,"Piazza Francesco Borromini, 6816 Bissone, Switzerland",+41 91 649 84 06,http://www.palmabissone.ch/,4.3,748,OPERATIONAL
Hotel Lido Seegarten,hotel,Hotel,"Viale Castagnola 22, 6900 Lugano, Switzerland",+41 91 973 63 63,http://www.hotellido-lugano.com/,4.4,769,OPERATIONAL
Hotel Federale Lugano,hotel,Hotel,"Via Paolo Regazzoni 8, 6900 Lugano, Switzerland",+41 91 910 08 08,https://www.hotel-federale.ch/,4.6,812,OPERATIONAL
"Grand Hotel Villa Castagnola, an SLH Hotel",hotel,Hotel,"Via Pico 9, 6900 Lugano, Switzerland",+41 91 973 25 55,http://www.villacastagnola.com/,4.7,832,OPERATIONAL
Continental Parkhotel Lugano,hotel,Hotel,"Via Basilea 28, 6900 Lugano, Switzerland",+41 91 966 11 12,http://www.continentalparkhotel.com/,4.4,889,OPERATIONAL
ibis Lugano Paradiso,hotel,Hotel,"Via Geretta 10A, 6900 Paradiso, Switzerland",+41 91 986 19 09,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=6776&merchantid=seo-maps-CH-6776&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,3.9,1015,OPERATIONAL
Hotel Delfino Lugano,hotel,Hotel,"Hotel Delfino Lugano, Via Cassarinetta 6, 6900 Lugano, Switzerland",+41 91 985 99 99,https://www.hoteldelfinolugano.ch/,4.3,1031,OPERATIONAL
Suitenhotel Parco Paradiso,hotel,Hotel,"Via Carona 27, 6900 Paradiso, Switzerland",+41 91 993 11 11,https://www.parco-paradiso.com/,4.4,1037,OPERATIONAL
Novotel Lugano Paradiso,hotel,Hotel,"Viale S. Salvatore 11, 6900 Paradiso, Switzerland",+41 91 985 09 09,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=6775&merchantid=seo-maps-CH-6775&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,4.3,1131,OPERATIONAL
Villa Principe Leopoldo,hotel,Hotel,"Via Montalbano 5, 6900 Lugano, Switzerland",+41 91 985 88 55,https://leopoldohotel.com/en/?utm_source=google&utm_medium=organic&utm_campaign=gmb_listing,4.7,1188,OPERATIONAL
Hotel Pestalozzi,hotel,Hotel,"Piazza Dell Indipendenza 9, 6900 Lugano, Switzerland",+41 91 921 46 46,http://www.pestalozzi-lugano.ch/,4.5,1190,OPERATIONAL
Swiss Diamond Hotel Lugano,hotel,Hotel,"Riva lago Olivella 29, 6921 Vico Morcote, Switzerland",+41 91 735 00 00,https://www.swissdiamondhotel.com/?utm_source=gbp&utm_medium=organic,4.3,1191,OPERATIONAL
LUGANODANTE Boutique & Lifestyle Hotel,hotel,Hotel,"Piazza Cioccaro 5, 6900 Lugano, Switzerland",+41 91 910 57 00,https://luganodante.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_listing,4.8,1236,OPERATIONAL
Villa Sassa,hotel,Hotel,"Via Tesserete 10, 6900 Lugano, Switzerland",+41 91 911 41 11,https://villasassa.ch/en/?utm_source=google&utm_medium=organic&utm_campaign=gmb_listing,4.3,1304,OPERATIONAL
Hotel De La Paix Lugano,hotel,Hotel,"Via Giuseppe Cattori 18, 6900 Lugano, Switzerland",+41 91 960 60 60,http://delapaix.ch/,4.4,1421,OPERATIONAL
Hotel Splendide Royal Lugano,hotel,Hotel,"Riva Antonio Caccia 7, 6900 Lugano, Switzerland",+41 91 985 77 11,http://www.splendide.ch/,4.7,1497,OPERATIONAL
Hotel Admiral Lugano,hotel,Hotel,"Via Geretta 15, 6900 Lugano, Switzerland",+41 91 986 38 38,https://www.luganohoteladmiral.com/,4,1768,OPERATIONAL
